City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
3467261,Capinzal,0,BR,1601532587,85,-27.34,-51.61,67.91,4.23
240999,Alindao,100,CF,1601532587,96,5.03,21.21,69.85,4.16
1007311,Durban,0,ZA,1601532454,68,-29.86,31.03,68.0,18.34
5404476,Ukiah,1,US,1601532588,37,39.15,-123.21,73.0,3.44
5960971,Gibsons,53,CA,1601532588,88,49.4,-123.5,61.0,1.72
2206894,Hokitika,66,NZ,1601532589,67,-42.72,170.97,52.03,2.21
3947019,Ayacucho,39,PE,1601532589,65,-13.16,-74.22,53.65,3.15
5354943,Half Moon Bay,90,US,1601532447,87,37.46,-122.43,71.6,4.7
3904906,Santa Cruz de la Sierra,4,BO,1601532370,69,-17.8,-63.17,80.6,14.99
4705086,Lamar,1,US,1601532540,68,33.67,-95.58,64.4,5.82
1696983,Osmeña,85,PH,1601532590,72,10.52,119.93,84.51,8.63
921786,Mitsamiouli,5,KM,1601532591,76,-11.38,43.28,79.61,8.46
1528796,At-Bashi,100,KG,1601532591,52,41.17,75.81,50.13,1.74
3374210,São Filipe,1,CV,1601532592,79,14.9,-24.5,79.12,9.24
571634,Breytovo,80,RU,1601532592,72,58.3,37.86,53.55,8.3
1651531,Ambon City,75,ID,1601532592,74,-3.7,128.18,84.2,6.93
4174201,Stuart,90,US,1601532489,88,27.2,-80.25,79.0,6.93
2239862,Malanje,100,AO,1601532593,89,-9.54,16.34,67.28,1.16
934479,Grand Gaube,0,MU,1601532593,62,-20.01,57.66,78.01,5.99
5903851,Blind River,20,CA,1601532594,81,46.18,-82.96,51.8,10.29
3628473,San Cristobal,60,VE,1601532594,83,7.77,-72.22,64.22,1.92
5983720,Iqaluit,40,CA,1601532595,68,63.75,-68.51,28.4,6.93
3409644,Corrente,10,BR,1601532425,98,-3.74,-43.34,69.31,2.75
116402,Semnan,0,IR,1601532595,24,35.57,53.4,68.0,5.21
2647984,Great Yarmouth,100,GB,1601532595,99,52.61,1.73,55.99,6.78
1282256,Hithadhoo,95,MV,1601532596,70,-0.6,73.08,83.25,4.0
3664078,Humaitá,100,BR,1601532596,88,-7.51,-63.02,75.4,3.11
3392126,Pilar,40,BR,1601532596,94,-9.6,-35.96,71.6,3.36
3688451,Buenaventura,61,CO,1601532597,93,3.88,-77.03,74.19,2.86
2152659,Port Macquarie,2,AU,1601532597,53,-31.43,152.92,73.4,14.99
3438102,Fuerte Olimpo,40,PY,1601532598,30,-21.04,-57.87,81.9,5.46
2156643,Mount Gambier,37,AU,1601532598,59,-37.83,140.77,62.6,18.34
287832,Ibrā’,4,OM,1601532599,20,22.69,58.53,89.58,3.85
6014443,Lac du Bonnet,89,CA,1601532599,99,50.25,-96.06,41.0,5.99
6690296,Saint-Joseph,4,RE,1601532599,61,-21.37,55.62,78.8,8.05
1067565,Beloha,13,MG,1601532600,58,-25.17,45.05,74.25,12.3
3051001,Ják,98,HU,1601532600,88,47.14,16.58,53.01,4.79
3466980,Caravelas,4,BR,1601532600,91,-17.71,-39.25,71.24,4.76
2654970,Brae,75,GB,1601532601,100,60.4,-1.35,53.6,1.12
3148602,Kyrksæterøra,40,NO,1601532601,76,63.29,9.09,57.2,14.99
3835869,Santiago del Estero,2,AR,1601532603,42,-27.8,-64.26,77.68,16.58
1490256,Talnakh,75,RU,1601532604,92,69.49,88.4,30.2,15.66
4176380,Venice,90,US,1601532305,83,27.1,-82.45,73.4,8.05
1488903,Turukhansk,99,RU,1601532604,90,65.82,87.98,32.72,3.47
5391295,Salinas,1,US,1601532456,72,36.68,-121.66,62.6,3.36
3146487,Raudeberg,91,NO,1601532605,90,61.99,5.14,54.0,14.05
3392734,Paulo Afonso,52,BR,1601532606,95,-9.41,-38.21,66.58,6.4
3899695,Ancud,90,CL,1601532606,100,-41.87,-73.82,43.0,6.93
4031637,Lavrentiya,70,RU,1601532607,84,65.58,-171.0,35.92,12.59
2396853,Omboué,100,GA,1601532607,74,-1.57,9.26,76.82,3.51
3131500,Visnes,75,NO,1601532608,82,59.36,5.22,62.01,23.04
2127202,Anadyr,90,RU,1601532608,81,64.75,177.48,32.0,10.58
1213855,Sibolga,100,ID,1601532609,79,1.74,98.78,82.06,5.66
2039557,Khasan,18,RU,1601532609,69,42.43,130.64,58.75,6.08
72181,Marzuq,0,YE,1601532610,27,14.4,46.47,82.8,5.59
3579925,St. George's,40,GD,1601532610,83,12.06,-61.75,80.6,13.82
3385899,Tutóia,0,BR,1601532610,78,-2.76,-42.27,77.81,16.2
3446692,Tatuí,24,BR,1601532611,87,-23.36,-47.86,67.59,5.5
6180550,Whitehorse,75,CA,1601532498,57,60.72,-135.05,50.0,17.22
3521894,Paredon,100,MX,1601532612,70,16.03,-93.87,79.27,13.24
5975004,High Level,1,CA,1601532612,70,58.52,-117.14,44.6,11.41
3347353,Menongue,77,AO,1601532613,72,-14.66,17.69,66.06,6.42
2126199,Cherskiy,91,RU,1601532613,77,68.75,161.3,37.78,11.59
1246294,Galle,82,LK,1601532614,72,6.04,80.22,84.04,14.29
370457,Maridi,59,SS,1601532614,86,4.92,29.47,73.9,0.78
104515,Makkah al Mukarramah,9,SA,1601532614,63,21.43,39.83,86.59,9.33
5335650,Ceres,1,US,1601532615,36,37.59,-120.96,80.6,4.7
707453,Ivanivka,74,UA,1601532615,76,46.72,34.55,62.02,7.9
3647444,Calabozo,90,VE,1601532563,93,8.92,-67.43,72.41,4.59
2123814,Leningradskiy,100,RU,1601532616,90,69.38,178.42,32.43,1.52
2057087,Kupang,20,ID,1601532616,34,-10.17,123.58,96.8,24.16
3440777,Rocha,0,UY,1601532616,94,-34.48,-54.33,59.09,4.12
2015217,Tokur,35,RU,1601532617,48,53.13,132.9,51.62,1.61
5044290,Saint Anthony,20,US,1601532617,75,45.02,-93.22,48.2,10.29
5325327,Avenal,75,US,1601532617,46,36.0,-120.13,71.6,5.82
6185377,Yellowknife,75,CA,1601532618,86,62.46,-114.35,39.2,8.05
643644,Orimattila,77,FI,1601532618,99,60.8,25.73,48.99,1.01
